,headline,global_index,index,con,newsOrder,word_count
53,In the next year Colorado will see sever cuts in water supply.,273,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,14,12
54,Japan Prepares for American Tourists,77,7qDm7De2l7ep8kn8fz4BUF52GF32,2,7,5
63,Limited Global Vaccine Availability Costs Innumerable Lives,390,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,8,7
71,Oldest Known Wildfire Reveal Information About Oxygen During the Silurian Period,514,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,15,11
74,Miners Uncover Rare Preserved Baby Wooly Mammoth in Canada,3,4G2vztY28Fee0nAkx43fXlepBSg1,2,17,9
80,This is the biggest discover yet ! A new species of bacteria found. how can this help us in the future?,279,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,18,21
84,Upcoming Geneva Convention to Discuss Transitioning of Elections in Libya,73,7qDm7De2l7ep8kn8fz4BUF52GF32,2,3,10
92,Forest Service UNcontrolled burn leads to states largest ever fire as officials in New Mexico grapple with ongoing drought conditions.,594,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,13,20
100,United Kingdom fears their reputation may be damaged.,260,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,1,8
104,US Government Considers Offering Updated COVID-19 Vaccinations for Protections Against New Variants,14,4G2vztY28Fee0nAkx43fXlepBSg1,2,6,12
113,Efforts to revive a 2015 nuclear deal.,263,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,2,7
114,Humidity: A Deadly Effect of Climate Change,509,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,11,7
3,Qatari Emir Arrives in Cairo For First Visit in Years,785,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,0,10
6,UN Political Chief Urges Libya's Rival Factions to Agree on Elections,663,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,3,11
16,Fertiliser prices sky-rocket amid Russia-Ukraine conflict,570,qiebo7O3TBach9qu1AqrWu2cAB23,3,4,6
23,Baby Woolly Mammoth Found Mummified in Yukon,670,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,17,7
29,commanders may allow unvaccinated troops to stay for now,772,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,5,9
31,US Health Authorities To Discuss Offering New COVID Booster Shots,173,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,6,10
41,Doha Talks End Without Progress on Nuclear Deal,569,qiebo7O3TBach9qu1AqrWu2cAB23,3,2,8
43,EU trade War Looms as Boris Johnson Pushes for Changes to Brexit Deal,25,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,1,13
50,Drought Conditions Grip Western US,30,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,14,5
54," Better seafloor maps help us with navigation and conservation, among many other uses",293,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,16,13
60,Million Lives Saved by COVID Vaccines in First Year,452,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,8,9
70," Scientists find largest bacterium to date, challenging what we know about microbes!",555,pYsoPM0aang4pLBPqHbUlrc285Y2,3,18,12
75,The massive environmental cost of America's love affair with lawns,179,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,12,10
83,Federal official warns of water cuts to seven states next year due to diminishing reservoirs,558,pYsoPM0aang4pLBPqHbUlrc285Y2,3,10,15
87,Computer Science Helps Solve Ancient Puzzle,552,pYsoPM0aang4pLBPqHbUlrc285Y2,3,19,6
90,The Forest Service will have to more effectively factor climate change into its plans,656,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,13,14
101,Rickshaw men in Tokyo add English-speaking staff in preparation for return of foreign tourists,661,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,7,14
106,Climate change causing more extreme weather events,793,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,11,7
111,Charred Remains Suggest That Wildfires Occurred  Million Years Ago,796,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,15,9
116,Mixing and matching existing vaccine types is safe and effective,445,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,9,10
4," Amid Global Fertilizer Shortage, Tanzania's Farmers Struggle to Keep Crops Alive",160,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,4,11
10,US and Iran at impasse as nuclear deal talks stall,440,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,2,10
13,Mapping the Seafloor: Importance for Navigation and Conservation,167,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,16,8
22,Cows Drop Dead in Kansas Feedlot Amid Record-Breaking Heat Wave,659,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,11,10
27,Federal Official Warns of Major Cuts to Colorado River Water Supply,784,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,10,11
31,Drought conditions cause water shortages across the West,557,pYsoPM0aang4pLBPqHbUlrc285Y2,3,14,8
41,Rickshaw Men in Tokyo Prepare for Return of Foreign Tourists,795,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,7,10
46,The Forest Service Made Mistakes in Planning a Controlled Burn in New Mexico,454,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,13,13
49,Scientists uncover new evidence of earliest human ancestors,172,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,19,8
57,UK MPs vote to allow Boris Johnson's Brexit bill to proceed,442,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,1,11
61," ,-Year-Old Woolly Mammoth calf Mummy Found in Canada",26,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,17,8
66,"COVID vaccines prevented catastrophic outcomes, study finds",285,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,8,7
75,Qatari Emir Arrives in Cairo for Talks with President el-Sissi,672,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,0,10
81,Libya's Rival Factions Urged to Agree on Transition to Elections,28,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,3,10
88,"A new species of bacteria, visible to the naked eye, has been discovered in Caribbean mangroves",162,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,18,16
91,Lawns are a bigger environmental problem than you think,33,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,12,9
96,Army National Guard reaches vaccinate deadline; thousands still unvaccinated,568,qiebo7O3TBach9qu1AqrWu2cAB23,3,5,9
104,New bivalent vaccines from Moderna and Pfizer-BioNTech to compete in market this fall,295,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,9,13
109,Moderna and Pfizer test updated shots against omicron variant,299,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,6,9
115,Forest of Giant Fungi Went Up in Flames  Million Years Ago,553,pYsoPM0aang4pLBPqHbUlrc285Y2,3,15,11
5,The ecological drawbacks of lawns,297,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,12,5
8,Robot Boats May Help Map the Ocean Floor,573,qiebo7O3TBach9qu1AqrWu2cAB23,3,16,8
17,The Forest Service will have to more effectively factor climate change into its plans,777,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,13,14
20,More options for COVID booster shots on the way,36,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,9,9
27,Japanese authorities take it slow with gradual relaxing of COVID restrictions,444,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,7,11
35,Scientists use innovative 'burial dating' technique to date ancient human fossils,782,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,19,11
37,Global Fertilizer Shortage Threatens Food Security in Africa,788,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,4,8
45,Boris Johnson's Bill to Override Brexit Deal Progresses to Next Stage,284,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,1,11
53,Largest bacteria ever seen challenges limits of what microbes can look like,668,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,18,12
57,Federal official warns of water shortages in Western US,564,qiebo7O3TBach9qu1AqrWu2cAB23,3,14,9
62,Unit commanders may be allowed to keep unvaccinated troops if they complete their administrative processes,280,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,5,15
69,FDA to debate if updated COVID booster shots are necessary,38,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,6,10
72,Even more deaths could have been prevented if international vaccination targets had been met,641,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,8,14
81,UN urges Libya's rival factions to agree on election measures,790,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,3,10
87,Emir Tamim bin Hamad Al Thani visits Egypt after years of strained relations,298,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,0,13
90,Federal Official Warns of Severe Water Cuts for  States,286,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,10,9
101," Preserved remains of ,-year-old baby woolly mammoth discovered in Canada",458,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,17,10
102," Indirect talks between Iran and the US have ended in Doha, Qatar, with no sign of a breakthrough in efforts to revive a  nuclear deal, raising the risk of a potential confrontation with Tehran in coming months",797,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,2,37
110,Ancient evidence of wildfire found in South Wales,451,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,15,8
115,Lethal 'Wet-Bulb' Effect Grips Nation Amid Record-Breaking Heat Wave,560,qiebo7O3TBach9qu1AqrWu2cAB23,3,11,9
0,Federal official warns of significant water cuts to Western states next year,762,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,10,12
10,Mixing and matching COVID vaccines may provide more robust protection,660,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,9,10
12,Preserved baby woolly mammoth found in Yukon permafrost,281,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,17,8
21,million acres of turf grass contributing to water pollution and climate change,676,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,12,12
28,New 'Super Bacteria' Could Be as Big as Human Eyelashes,290,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,18,10
35,US Health Authorities Facing Critical Decision on Updated COVID Booster Shots,792,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,6,11
39,Army National Guard tries to Avoid Recruiting Crisis by Allowing Unvaccinated Soldiers to Stay,554,pYsoPM0aang4pLBPqHbUlrc285Y2,3,5,14
43,Researchers: even more deaths could have been prevented if international targets for shots had been reached,31,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,8,16
52," Climate change is leading to more frequent and intense wildfires, Forest Service Chief warns",550,pYsoPM0aang4pLBPqHbUlrc285Y2,3,13,14
55,Tanzanian farmers battle to keep business alive amid global fertiliser shortage,644,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,4,11
65,American West Dries Up in Alarming New Trend,35,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,11,8
67,Indirect Talks Between Iran and the US End Without a Breakthrough,171,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,2,11
75,Federal Official Warns of Reduced Water Allotments From Colorado River,653,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,14,10
80,Japanese City of Asakusa Prepares for Return of Foreign Tourists,650,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,7,10
86,UN Urges Libya's Rival Factions to Agree on Elections Transition Measures,540,pYsoPM0aang4pLBPqHbUlrc285Y2,3,3,11
93,communities crucial to mapping the seafloor,649,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,16,6
98,PM Johnson's Brexit Bill Faces Opposition from Within His Own Conservative Party,164,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,1,12
105,Early human ancestors found to be much older than previously thought,761,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,19,11
113,Scientists identify charred remnants from  million years ago,32,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,15,8
115,Egyptian President Welcomes Qatari Emir for Improved Bilateral Relations,562,qiebo7O3TBach9qu1AqrWu2cAB23,3,0,9
0,Charcoal Traces Suggest Giant Fungi Burned in Ancient Wildfire,766,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,15,9
6,Africa at High Risk for Food Scarcity Due to Fertilizer Shortage,770,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,4,11
13," Nun cho ga, Preserved Woolly Mammoth calf found in Canada ",781,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,17,10
18,Thousands of Cows Dead in Kansas Amid Record-Breaking Heat Wave,673,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,11,10
25,Burial Dating Method Could Help Better Chronicle Human Evolution,664,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,19,9
33,Millions more deaths could have been prevented if vaccination targets had been met,559,pYsoPM0aang4pLBPqHbUlrc285Y2,3,8,13
36,Army National Guard unvaccinated troops face potential expulsion; many commanders may allow troops to continue receiving pay and benefits,22,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,5,19
43,Indirect talks between Iran and the US end without breakthrough,283,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,2,10
50,UN political chief urges Libyan factions to agree on measures for forthcoming elections,165,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,3,13
56,New bivalent vaccines announced by Moderna and Pfizer-BioNTech,170,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,9,8
60," Scientists find bacteria with internal membranes, encased DNA",654,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,18,8
71," Drought Conditions Worsen, Reservoirs Drop to Critical Levels",29,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,10,8
75,Boris Johnson's Bill to Override Brexit Deal Faces Criticism from MPs,768,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,1,11
82,Qatar and Egypt to discuss regional issues ahead of President Biden's anticipated trip to the Middle East,441,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,0,17
89," Scientists Urge for Better, More Variant-Proof Vaccines",765,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,6,7
93,The Japanese tourism industry post-COVID,282,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,7,5
99,Federal Official Warns of Looming Water Shortages,787,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,14,7
106," The dark side of the American lawn: pollution, climate change, and loss of biodiversity",779,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,12,14
110," Forest Service must adapt to climate change to prevent future disasters, report says",169,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,13,13
117," Slowly but surely, more of the global ocean floor is being mapped Better seafloor maps help us with navigation, conservation, and many other uses Sea maps are essential for safe navigation, but also for fisheries management and conservation",457,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,16,38
4,Drought conditions in the West continue to worsen,776,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,14,8
8,New dating technique sheds light on human evolution,577,qiebo7O3TBach9qu1AqrWu2cAB23,3,19,8
16,New booster shots on the way to extend COVID protection,763,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,9,10
19,Fertiliser shortage leaves Tanzania farmers struggling to keep crops alive,546,pYsoPM0aang4pLBPqHbUlrc285Y2,3,4,10
28,Federal official warns of significant water cuts to seven states next year,174,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,10,12
34,Daikichi kimono rental shop in Asakusa thrilled at the prospect of foreign visitors returning,774,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,7,14
36,Boris Johnson's Brexit bill survives challenge from own party,674,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,1,9
44,US and Iran at impasse in nuclear deal revival efforts,657,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,2,10
52,Caribbean Mangrove Yields New Type Of Bacteria That Can Be Seen With The Naked Eye,571,qiebo7O3TBach9qu1AqrWu2cAB23,3,18,15
59,The dark side of the American lawn: how our obsession is harming the environment,645,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,12,14
63,Over % of global ocean floor now mapped,780,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,16,8
70,Qatari Emir Arrives in Cairo for Talks With President El-Sissi,163,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,0,10
76,Ancient Mudstone Holds Clues to Earliest Evidence of Wildfire,561,qiebo7O3TBach9qu1AqrWu2cAB23,3,15,9
80,Cows Collapse and Humans Suffer in Severe Heat Wave,288,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,11,9
87,A Stunningly Preserved Woolly Mammoth Calf Discovered in Northwestern Canada,764,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,17,10
93,million lives saved by COVID vaccines in first year,771,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,8,9
97,Climate change leads to more intense wildfires,798,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,13,7
103,Army National Guard soldiers facing potential expulsion if they do not get vaccinated for Covid Unit commanders may be allowed to keep unvaccinated troops if they are struggling to meet recruiting goals The Army is hoping to vaccinate all of its National Guard members to avoid separations,791,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,5,47
111,UN Urges Libya Rivals to Agree on Transition to Elections,443,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,3,10
118,US Health Authorities Weigh Pros and Cons of Updated COVID Booster Shots,566,qiebo7O3TBach9qu1AqrWu2cAB23,3,6,12
4,New booster shots may offer better protection against COVID variants,679,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,6,10
11,Most complete and best-preserved woolly mammoth ever found in North America,175,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,17,11
15," US and Iran end indirect talks without agreement, raising concerns ofinstead return to nuclear deal",21,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,2,15
23,COVID vaccination campaign prevented millions of deaths,667,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,8,7
25,Army National Guard soldiers required to be vaccinated against Covid,643,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,5,10
30,Forest Service Will Have to Better Factor Climate Change into Plans,669,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,13,11
41," Lawns are worst choice for ecological sustainability, says expert",551,pYsoPM0aang4pLBPqHbUlrc285Y2,3,12,9
44,New vaccines on the way to extend COVID protection,576,qiebo7O3TBach9qu1AqrWu2cAB23,3,9,9
52,Geologists find evidence of fire from  million years ago,161,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,15,9
59,Drought in the West: Federal Official Warns of Critical Levels at Major Reservoirs,678,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,14,13
60,UN Urges Libya's Rival Factions To Agree On Transition To Elections,572,qiebo7O3TBach9qu1AqrWu2cAB23,3,3,11
68,Record-Breaking Temperatures and Humidity grip US,769,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,11,6
77,Qatari emir visits Egypt after years of frayed ties,775,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,0,9
81," Cost of fertiliser skyrockets, putting Tanzania's farmers in danger",665,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,4,9
86,Federal official warns of water cuts to seven states next year due to diminished Colorado River reservoirs,578,qiebo7O3TBach9qu1AqrWu2cAB23,3,10,17
93,Scientists discover new bacteria species that can be seen with the naked eye,783,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,18,13
101,Rickshaw Men in Tokyo Prepare for Return of Foreign Tourists,541,pYsoPM0aang4pLBPqHbUlrc285Y2,3,7,10
107,UK MPs Vote To Allow Controversial Brexit Bill To Proceed,640,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,1,10
110,"Slowly but surely, more of the ocean floor is being mapped",773,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,16,11
116,Scientists date early human fossils using space particles,37,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,19,8
2,Are Your Lawn Habits Contributing to Climate Change?,575,qiebo7O3TBach9qu1AqrWu2cAB23,3,12,8
6,Archaeologists Uncover Most Complete Woolly Mammoth Specimen in North America,556,pYsoPM0aang4pLBPqHbUlrc285Y2,3,17,10
16,US health authorities considering new COVID booster shots to better match recent changes of the shape-shifting coronavirus,542,pYsoPM0aang4pLBPqHbUlrc285Y2,3,6,17
22,Boris Johnson's Brexit Bill Clears Hurdle Despite Opposition from MPs,565,qiebo7O3TBach9qu1AqrWu2cAB23,3,1,10
25," Quarter of global ocean floor mapped, rising slowly but surely ",39,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,16,10
32,Qatar and Egypt to discuss key regional issues ahead of Biden's trip to the Middle East,23,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,0,16
41,Fertiliser shortage leaves Tanzania farmers scrambling to find solutions,292,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,4,9
45,Record low water levels in Colorado River reservoirs force significant cuts in water supplied to  states,455,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,14,16
48,Army National Guard facing recruiting crisis amid vaccination deadline,446,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,5,9
55,“Wet-bulb” effect creates deadly combination of heat and humidity,453,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,11,9
60,US and Iran deadlocked in efforts to revive  nuclear deal,671,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,2,10
70,Scientists Find New Bacteria with Unusual Internal Structures,778,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,18,8
76," Japan gradually loosens coronavirus restrictions, allowing foreign tourists to visit in limited numbers",168,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,7,13
82,Million Lives Saved by COVID Vaccines in First Year,177,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,8,9
88,New booster shots on the way to extend COVID protection,794,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,9,10
95,The evidence of wildfire has been found to date back  million years,296,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,15,12
100,UN chief urges Libya factions to agree on election measures,760,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,3,10
103,Report: USFS underestimated impact of climate change in planning controlled burn,291,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,13,11
111,Coordinated action needed to mitigate climate change,662,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,10,7
119,New technique allows for more accurate dating of early human fossils,287,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,19,11
3,https://wwwcnncom////politics/boris-johnson-brexit-uk-g/indexhtml target=_blank>Boris Johnson's Brexit bill faces opposition from fellow Tories,547,pYsoPM0aang4pLBPqHbUlrc285Y2,3,1,10
8,Qatari emir arrives in Cairo for long-awaited talks with president,642,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,0,10
17,Study underscores both achievements and limitations of global vaccination campaign,574,qiebo7O3TBach9qu1AqrWu2cAB23,3,8,10
20,Japanese Businesses Excited for Return of Foreign Tourists After COVID Lockdown,563,qiebo7O3TBach9qu1AqrWu2cAB23,3,7,11
24,Colorado River dwindling due to extreme drought,176,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,11,7
34,Fossilised evidence of fires shows oxygen levels were higher  million years ago,655,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,15,12
40,Federal Official Warns Of Necessary Water Cuts To Western States,647,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,10,10
42,US and Iran fail to reach agreement on reviving nuclear deal,545,pYsoPM0aang4pLBPqHbUlrc285Y2,3,2,11
50,Federal Official Warns of Signficant Water Cuts to Seven Western States,166,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,14,11
58,Forest Service Chief: Climate change is leading to conditions on the ground we have never encountered,27,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,13,16
62,Want to Help the Environment? Start by Rethinking Your Lawn,449,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,12,10
66,Progress Made in Libya talks as Factions Agree on Some Points,648,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,3,11
74,New COVID booster shots offer hope for better protection against variants,658,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,6,11
78,Better seafloor maps help us with navigation and conservation,666,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,16,9
85,Army National Guard struggling to meet recruiting goals amid Covid vaccine deadline,675,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,5,12
90,Clinical studies show mixing and matching vaccines is safe and effective,646,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,9,11
96,Baby mammoth found nearly whole and frozen in permafrost in Canada,651,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,17,11
107,New species of bacteria is largest discovered to date,456,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,18,9
111,New dating technique sheds light on early human ancestor fossils,459,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,19,10
114," Price of Fertilizer Triples Globally, Impacting Farmers in Tanzania",20,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,4,9
5,climate change: the new reality of water shortages in the west,450,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,10,11
10,Qatar's Emir Visits Egypt for Talks with President el-Sissi,549,pYsoPM0aang4pLBPqHbUlrc285Y2,3,0,9
17,UN Ocean Conference encourages open sharing of seafloor mapping data,543,pYsoPM0aang4pLBPqHbUlrc285Y2,3,16,10
20,Crisis Fuelling Fears of Food Scarcity Across Africa,447,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,4,8
27,The Negative Environmental Impact of Lawns,799,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,12,6
33,Army officials hopeful that some of the unvaccinated Guard soldiers will get their vaccine,178,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,5,14
37,Researchers Find that Early Humans Lived Earlier than Previously Thought,652,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,19,10
46,-New COVID vaccines offer more options for boosting immunity,544,pYsoPM0aang4pLBPqHbUlrc285Y2,3,9,9
48,Federal officials warn of significant water supply cuts to  states,289,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,14,10
59,Japan Braces for Return of Foreign Tourists,24,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,7,7
64,Study finds COVID vaccines prevented  million deaths globally in first year,786,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,8,11
69," Giant fungi responsible for ancient wildfires, new evidence shows",677,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,15,9
75,Completely preserved mammoth calf entombed in permafrost for millennia,567,qiebo7O3TBach9qu1AqrWu2cAB23,3,17,9
83,This new bacteria is the biggest ever seen and it's right under our noses,34,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,18,14
85,Libyan factions urged to agree on measures for transition to elections,294,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,3,11
95," Drought, extreme weather, and unpredictable weather changes make it difficult to use prescribed fire as a tool to combat destructive fires",579,qiebo7O3TBach9qu1AqrWu2cAB23,3,13,21
101,UK MPs vote to allow Boris Johnson's Brexit bill to proceed,789,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,1,11
105,FDA to debate offering new COVID booster shots,448,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,6,8
112,EU Diplomat: Intense Talks Fail to Bring Progress on Iran Nuclear Deal,767,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,2,12
118,Senators sound alarm on Colorado River crisis as water levels continue to decline,548,pYsoPM0aang4pLBPqHbUlrc285Y2,3,11,13
1,Qatar and Egypt Look to Improve Relations Ahead of Biden's Middle East Trip,464,lSToD6u7LuZJk20NqhMUk3jy22S2,4,0,13
7,UN Urges Libya Rivals to Seek Consensus Ahead of Geneva Talks,462,lSToD6u7LuZJk20NqhMUk3jy22S2,4,3,11
12,Global fertilizer prices skyrocketing due to Russia-Ukraine conflict,89,7vtosds1eTQWx6qaDn5FwExnVR63,4,4,8
