,headline,rank,comment,participant,sequence,global_index,index,con,newsOrder,word_count
11,Nearly a quarter of Earth's seafloor now mapped,2,Vague and unattractive and barely highlights the content of the article,7,1,816,original,0,16,8
12,US Forest Service Report: Impact of Climate Change on Southwest Underestimated,5,not clear with regards to the location where the impact of climate change was experienced,7,2,625,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,13,11
13,Report: U.S. Forest Service Underestimated Climate Change When Planning Controlled Burn,2,Clear and accurate but too wordy and this makes this headline unattractive,7,2,833,gpt3,1,13,11
14,US Forest Service made several mistakes in planning New Mexico prescribed burn,3,Accurate but can be improved to communicate more of the information in the article  while still maintaining a concise form,7,2,205,LThoEJBs8INX22KfDMJT09LBP8F2,4,13,12
15,U.S. Forest Service admits climate change miscalculation in New Mexico fire,3,It does not directly communicate other parts of the article,7,2,813,original,0,13,11
16,Report: Climate Change Made New Mexico Wildfire Much Worse Than Anticipated,1,"Clear, concise and factually correct",7,2,407,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,13,11
17,The Forest Service will have to more effectively factor climate change into its plans,4,Not attractive and does not portray clarity about the problem of burn and climate change,7,2,777,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,13,14
18,Current COVID vaccine protection wanes over time,6,Factually correct but unattractive,7,3,338,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,9,7
19,Should you get a COVID-19 booster shot now or wait until fall? Two immunologists help weigh the options,5,Not attractive and too wordy,7,3,809,original,0,9,18
20,More options for COVID booster shots on the way,4,Not tasty but factual,7,3,36,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,9,9
21,New COVID-19 vaccines on the way: Which one should you choose?,3,Attractive with limited clarity. Further modifications can make it better.,7,3,829,gpt3,1,9,11
22," COVID  Vaccines: Immunities Wane Over Time, Booster Shots Necessary",2,attractive and clear but does not communicate the whole idea of the article,7,3,495,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,9,9
23,Clinical Trials Show New COVID  Booster Shots are Safe and Effective,1,"attractive, clear and totally embodies the information in the article",7,3,756,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,9,11
24,Japanese Tourism Begins to Rebound Following Pandemic,1,"It is attractive, and communicates the keypoint of the article",7,4,93,7vtosds1eTQWx6qaDn5FwExnVR63,4,7,7
25,Japan gradually relaxes coronavirus restrictions for foreign tourists,2,factually correct and can be improved,7,4,709,uIQjNU1bgVfp0K8B7po65McKCZF2,5,7,8
26,"Japanese shops, restaurants, eager for return of foreign visitors ",3,accurate but does not communicate the whole essence of the article,7,4,331,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,7,9
27,Japanese authorities take it slow with gradual relaxing of COVID restrictions,5,attractive but lacks clarity,7,4,444,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,7,11
28,Japan Braces for Return of Foreign Tourists with English-Speaking Rickshaw Drivers,6,"Not factual, unclear and not attractive",7,4,827,gpt3,1,7,11
29,"As COVID fears ebb, Japan readies for tourists from abroad",4,Accurate but not attractive,7,4,807,original,0,7,10
30,Researchers claim human fossils are 3.7 million years old,3,Written in passive voice and does not communicate in clear terms what the article is about,7,5,157,CHPvD2GusIUzZFAkiOpoRaDU1rE3,5,19,9
31,Bones that date back almost 3.7 million years ago have been found in South Africa.,2,tasty but a little bit unclear and can be improved.,7,5,275,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,19,15
32,researchers use burial dating to accurately date early human fossils,5,attractive but unclear,7,5,839,gpt3,1,19,10
33,Ancient fossils in the 'Cradle of Humankind' are more than 1 million years older than previously thought,6,"factually correct but not attractive, and can be improved to a more concise form",7,5,819,original,0,19,17
34,Early human fossils in South African cave found to be  million years old,1,"Attractive, clear and factually correct",7,5,434,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,19,13
35,Scientists use innovative 'burial dating' technique to date ancient human fossils,4,factually correct and attractive but neglects the age of the fossils,7,5,782,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,19,11
36,"Farmers straining under global fertilizer shortage, soaring costs",2,tasty and accurate,7,6,56,7WX00yoU07X1UKaG8WH0cYKB25S2,2,4,8
37,Global Fertilizer Shortage Threatens Food Security in Africa,1,"attractive, factually correct, clear and concise.",7,6,788,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,4,8
38,Africa's farmers battle to keep crops alive amid global fertiliser shortage,4,accurate and correct but the use of words is not attractive,7,6,350,XejxEr2oK8Xk9CTJhxXZwKyEzL73,5,4,11
39,African Farmers Battle Global Fertilizer Shortage,4,tasty but accuracy needs to be improved,7,6,467,lSToD6u7LuZJk20NqhMUk3jy22S2,4,4,6
40,Fertiliser shortage hits African farmers battling food crisis,5,Attractive but factually incorrect,7,6,804,original,0,4,8
41,Tanzania farmers struggling to keep crops alive amid global fertiliser shortage,3,"accurative, clear but unattractive ",7,6,824,gpt3,1,4,11
42,House of Commons Votes to Allow Boris Johnson's Bill to Proceed,3,factually correct but does not communicate the whole essence of the article,7,7,309,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,1,11
43,"Boris Johnson Proposes Bill to Override Brexit Deal, Causing divisions Within Tory Party",1,attractive and accurate,7,7,821,gpt3,1,1,13
44,UK Plan to Override Brexit Deal Passes Hurdle With Tory Dissent,2,Clear and factually correct but can be improved,7,7,801,original,0,1,11
45,Boris Johnson's Bill to Override Brexit Deal Progresses to Next Stage,2,Clear and factually correct but can be improved,7,7,284,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,1,11
46,Tory MPs Vote to Allow Johnson's Brexit Bill That Breaks International Law to Proceed,5,attractive but inaccurate,7,7,111,AtwFIMCkpLTdyT6zSPsQSMao2uj2,5,1,14
47,"Borris Johnson's Attempt to Override Brexit Deal a ""Failure of Statecraft''",4,"attractive, but poor in clarity",7,7,621,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,1,11
48,Scientists discover new 'super bacterium' visible to the naked eye,2,"tasty, clear and accurate",7,8,712,uIQjNU1bgVfp0K8B7po65McKCZF2,5,18,10
49,New species of bacteria has membranes organizing its insides,4,attractive but maybe unclear to the average reader,7,8,315,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,18,9
50,Photo shows newly-discovered bacteria so large they are visible to the naked eye,5,unclear,7,8,818,original,0,18,13
51,Scientists Discover New Bacteria That's the Size of a Human Eyelash,1,"Very attractive, aesthetic, clear and accurate",7,8,838,gpt3,1,18,11
52,New Bacterial Species Discovered in Caribbean,3,attractive but not so clear,7,8,72,7qDm7De2l7ep8kn8fz4BUF52GF32,2,18,6
53,Largest bacteria ever seen challenges limits of what microbes can look like,1,"attractive, stirs curiosity and factually correct",7,8,668,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,18,12
54,Moment of reckoning:' Federal official warns of Colorado River water supply cuts,1,"attractive, concise and factually accurate",7,9,814,original,0,14,12
55,-Drought forces significant cuts to Colorado River water supply,5,factually correct but can be improved to highlight the content of the article,7,9,369,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,14,9
56,Seven Western States Can Expect Diminished Water Supplies from Colorado River,3,accurate but not clear,7,9,399,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,14,11
57,Federal official warns of water shortages in Western US,2,accurate and clear,7,9,564,qiebo7O3TBach9qu1AqrWu2cAB23,3,14,9
58,Revelation at Senate Hearing: Seven-State Drought crisis caused by Climate Change,4,clear and accurate but not attractive,7,9,834,gpt3,1,14,11
59,Colorado River Reservoirs at Risk of Running Dry,3,accurate and clear but can be improved,7,9,238,LoDaQFokdGWa9TWBH61EBRf6Q272,5,14,8
60,National Guard recruitment crisis may allow unvaccinated troops to remain in service,4,factually correct but not fully communicating the information in the article,7,10,151,CHPvD2GusIUzZFAkiOpoRaDU1rE3,5,5,12
61,Army National Guard Vaccination Deadline Passes with Thousands Unvaccinated,3,factually correct and attractive but can be improved to fully portray the content of the article,7,10,319,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,5,9
62,Unit commanders may be allowed to keep unvaccinated troops if they complete their administrative processes,5,Unclear and too wordy,7,10,280,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,5,15
63,Deadline passes and 1 in 10 Army National Guard soldiers still unvaccinated for Covid. Will they be expelled?,2,factually correct and clear but too wordy and can be,7,10,805,original,0,5,18
64,Army Allows Unvaccinated Troops to Keep Pay and Benefits as Fear of Losing Troops Continues,1,"Attractive, concise, clear and factually accurate",7,10,623,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,5,15
65,Army National Guard Faces Recruiting Crisis Amid Covid Vaccine Deadline,6,Unclear and barely reflects the content of the article,7,10,825,gpt3,1,5,10
66,Updated COVID shots may help protect against future surges,1,"Clear, attractive and factually accurate",7,11,499,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,6,9
67,U.S. health authorities debate offering new COVID-19 booster shots to better match recent changes in the shape-shifting coronavirus.,3,clear and factually accurate but unattractive because it is too wordy,7,11,826,gpt3,1,6,18
68,COVID-19 Boosters: Getting Ahead or Following Behind?,2,very attractive but not clear,7,11,508,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,6,7
69,FDA to debate if updated COVID booster shots are necessary,4,Attractive but inaccurate,7,11,38,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,6,10
70,FDA Officials to debate updated COVID booster shots,4,Inaccurate,7,11,714,uIQjNU1bgVfp0K8B7po65McKCZF2,5,6,8
71,US grapples with whether to modify COVID vaccine for fall,5,unattractive,7,11,806,original,0,6,10
72,Even more deaths could have been prevented if international vaccination targets had been met,5,unattractive,7,12,641,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,8,14
73," , Additional Deaths Averted If WHO Target of % Vaccination Coverage Had Been Met",5,limited clarity,7,12,474,lSToD6u7LuZJk20NqhMUk3jy22S2,4,8,14
74,Nearly 20 million lives saved by COVID-19 vaccines in first year,3,attractive but could be improved,7,12,828,gpt3,1,8,11
75,COVID Vaccines Averted  Million Deaths Globally,2,great taste and factually accurate,7,12,691,uA2ctpMlrPWUQyFhAUak6O0xDEz1,5,8,6
76,Researchers: COVID vaccines saved 20M lives worldwide,1,"attractive, concise, accurate and with a great taste",7,12,327,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,8,7
77,"COVID vaccines saved 20M lives in 1st year, scientists say",3,accurate but lacks taste,7,12,808,original,0,8,10
78,Rival Libyan Factions Urged to Reach Consensus on Elections,1,"clear , concise, accurate and attractive.",7,13,396,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,3,9
79,UN urges Libya's rivals to agree on elections this week,1,"clear , concise, accurate and attractive.",7,13,803,original,0,3,10
80,Libya's Rival Factions Urged to Reach Agreement on Elections,1,"clear , concise, accurate and attractive.",7,13,823,gpt3,1,3,9
81,UN urges Libya's rival factions to agree on election measures,2,attractive but with limited clarity,7,13,790,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,3,10
82,UN Calls for National Reconciliation Efforts in Libya,3,"attractive, but not accurate",7,13,400,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,3,8
83,Libyan factions agree on constitutional measures to pave way for elections,4,not factually accurate and does not portray the content of the article,7,13,200,LThoEJBs8INX22KfDMJT09LBP8F2,4,3,11
84,Qatari Emir's Visit To Cairo Aims To Improve Bilateral Relations,2,highlights the content of the article tastily and accurately,7,14,86,7vtosds1eTQWx6qaDn5FwExnVR63,4,0,10
85,Qatar's emir in Cairo for 1st time since Arab spat resolved,1,"attractive, factual and with a great taste",7,14,800,original,0,0,11
86,Qatari emir visits Cairo for first time in years,3,tasty but has limited clarity,7,14,715,uIQjNU1bgVfp0K8B7po65McKCZF2,5,0,9
87,Emir Tamim bin Hamad Al Thani visits Egypt after years of strained relations,4,attractive and does not portray what the article is about enough,7,14,298,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,0,13
88,Leaders of Qatar and Egypt to talk after years of tension,4,Attractive but not precise,7,14,321,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,0,11
89,Qatar's Emir Arrives in Cairo for Talks with President el-Sissi,3,tasty but has limited clarity,7,14,820,gpt3,1,0,10
90,Federal Official Warns of Severe Water Cuts for  States,3,"accurate, not tasty and also with limited clarity",7,15,286,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,10,9
91,Moment of reckoning:' Federal official warns of Colorado River water supply cuts,1,"accurate, clear and quite attractive",7,15,810,original,0,10,12
92,Record-Low Reservoir Levels Prompt Water Restrictions in Western States,1,tasty and communicates and portrays the essence of the article,7,15,136,CFhnIRlNuSSnz5UpZM17jMA3pUg1,5,10,9
93,Water Shortages Looming for Seven States,4,Quite unclear,7,15,619,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,10,6
94,"""Federal Official Warns of Severe Water Shortages in Western US""",2,tasty and accurate but not very attractive,7,15,830,gpt3,1,10,10
95,Drought to cut Colorado River water supply to seven states,5,"Concise , but gives a vague idea of what the article is about",7,15,330,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,10,10
96,"30,000-year-old baby woolly mammoth found in Canada",3,attractive but needs improvement in terms of additional details,7,16,837,gpt3,1,17,7
97,Baby Woolly Mammoth Found Nearly Whole in Canada,5,not attractive,7,16,489,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,17,8
98,"30,000 year old Wolly Mamoth was found by miner in Northern Canada.",1,"detailed, attractive and tasty headline ",7,16,277,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,17,12
99,Intact wooly mammoth baby uncovered in northwestern Canada,2,"accurate, but require improvement in details ",7,16,817,original,0,17,8
100,Preserved Woolly Mammoth Discovered In Canada,3,factually correct but not very attractive,7,16,189,IUccO19kQBYLnovtvPkCbJuUIZ22,5,17,6
101," Preserved remains of ,-year-old baby woolly mammoth discovered in Canada",4,could have made it as the best headline but it is incomplete,7,16,458,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,17,10
102," Indirect talks between Iran and the US have ended in Doha, Qatar, with no sign of a breakthrough in efforts to revive a  nuclear deal, raising the risk of a potential confrontation with Tehran in coming months",6,unattractive and too wordy,7,17,797,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,2,37
103,Indirect Talks Between Iran and U.S. End Without Breakthrough,3,attractive but with limited clarity,7,17,822,gpt3,1,2,9
104,U.S.-Iran nuclear negotiations in Qatar end without breakthrough,1,Factually accurate and consistent with the information in the article,7,17,802,original,0,2,8
105,Talks between Iran and US end without breakthrough,4,concise but not clear,7,17,612,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,2,8
106,IRAN continues to stymie efforts towards ANY Nuclear Deal.,5,factually accurate but not attractive,7,17,590,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,2,9
107,US Accuses Iran of Stalling Nuclear Deal Progress,2,attractive but could be improved by addition of more details,7,17,710,uIQjNU1bgVfp0K8B7po65McKCZF2,5,2,8
108,New evidence suggests that wildfires were present on Earth 430 million years ago.,2,attractive and tasty but could be improved with more details about concerning the cause of wildfire,7,18,835,gpt3,1,15,13
109,Prototaxites: The -Million-Year-Old Pillars of Fungus That May Have Started Wildfires,1,"tasty, concise and well written ",7,18,302,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,15,11
110,Ancient evidence of wildfire found in South Wales,3,"factually accurate, curiosity stirring but falls little bit below attractive",7,18,451,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,15,8
111,Ancient evidence of wildfire discovered in South Wales,3,"factually accurate, curiosity stirring but falls little bit below attractive",7,18,129,CFhnIRlNuSSnz5UpZM17jMA3pUg1,5,15,8
112,Earliest evidence of wildfire found in Wales,4,correct but not attractive and could be improved with more details.,7,18,815,original,0,15,7
113,Ancient charred remains found.,5,not attractive  and vague,7,18,278,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,15,4
114,Climate Change Disasters Pile Up as Temperatures Continue to Rise,1,"aesthetic, clear and communicates relevant information in the article",7,19,831,gpt3,1,11,10
115,Lethal 'Wet-Bulb' Effect Grips Nation Amid Record-Breaking Heat Wave,3,attractive but may be unclear to an average reader,7,19,560,qiebo7O3TBach9qu1AqrWu2cAB23,3,11,9
116,Heat and Humidity Kills Thousands of Cows in Kansas Reflecting Nationwide Deviations in Weather,4,factually accurate but too streamlined and does not totally portray the essence of the article,7,19,6,4G2vztY28Fee0nAkx43fXlepBSg1,2,11,14
117,"It's not summer yet, but climate change is already showing its teeth in 2022",2,poetically attractive and factually accurate,7,19,811,original,0,11,14
118,Heat Wave Claims Thousands of Cattle in Kansas,5,factually accurate but with limited clarity.,7,19,359,XejxEr2oK8Xk9CTJhxXZwKyEzL73,5,11,8
119," National Weather Service: , visitors to Yellowstone National Park evacuated after severe flooding",5,tasty and correct but does not portray the entirety of what the article is about,7,19,736,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,11,13
0,New COVID-19 vaccines on the way: Which one should you choose?,4,"vague on some kep points of article, tone seems to informal to me personally",17,0,829,gpt3,1,9,11
1,New vaccines on the way to extend protection against COVID sub variants,1,"most accurate, mentions subvariants",17,0,137,CFhnIRlNuSSnz5UpZM17jMA3pUg1,5,9,12
2,Should you get a COVID-19 booster shot now or wait until fall? Two immunologists help weigh the options,6,"most misleading, none of these vaccines sound like they're available to the public and are still in the porcess of FDA approval",17,0,809,original,0,9,18
3,New vaccines on the way to extend COVID protection,2,"very accurate mentioning extending protection, but doesn't mention subvariants",17,0,576,qiebo7O3TBach9qu1AqrWu2cAB23,3,9,9
4,New COVID vaccines provide long-lasting protection against variants,3,"also very accurate, see above, but makes it sound like this article could be providing info on prior vaccines to booster",17,0,469,lSToD6u7LuZJk20NqhMUk3jy22S2,4,9,8
5,Vaccine availability and stability strengthen the fight among ever-mutating Coronavirus.,5,"misleading, not about availability, moreso differences in immune response trigger",17,0,598,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,9,10
6,US grapples with whether to modify COVID vaccine for fall,1,"covers all relevant points, short and sweet",17,1,806,original,0,6,10
7,Updated COVID shots may help protect against future surges,4,"misses point about potential FDA approval, not eye-catching",17,1,499,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,6,9
8,U.S. health authorities debate offering new COVID-19 booster shots to better match recent changes in the shape-shifting coronavirus.,2,covers all relevant points but too wordy,17,1,826,gpt3,1,6,18
9,U.S. health authorities ponder whether to offer new COVID boosters,5,"most vague title, needs more info",17,1,322,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,6,10
10,New booster shots may offer better protection against COVID variants,4,"misses point about potential FDA approval, not eye catching",17,1,679,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,6,10
11,US health authorities debate whether to offer new COVID booster shots,3,"covers all relevant points, but other use more attention-grabbing language",17,1,747,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,6,11
12,COVID-19 vaccine prevented nearly 20 million deaths,5,"Less eye catching than last, and misses key point, but does give an eye catching number",17,2,55,7WX00yoU07X1UKaG8WH0cYKB25S2,2,8,7
13,Nearly 20 million lives saved by COVID-19 vaccines in first year,4,"Not as eye grabbing and misses key point, but does give audience an eye catching number",17,2,828,gpt3,1,8,11
14,Researchers: even more deaths could have been prevented if international targets for shots had been reached,1,"this one is wordy and doesn't hit all of the points, I admit, but this one immidiately caught my attention and mentioning researchers giving this info helps credibility",17,2,31,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,8,16
15,COVID Vaccines Averted  Million Deaths Globally,6,"Least eye catching, and least amount of key points mentioned",17,2,691,uA2ctpMlrPWUQyFhAUak6O0xDEz1,5,8,6
16,"COVID vaccines saved 20M lives in 1st year, scientists say",2,"this one gives the most context, gives a specific number, and is attention grabbing",17,2,808,original,0,8,10
17," , Additional Deaths Averted If WHO Target of % Vaccination Coverage Had Been Met",3,"Very attention grabbing as well, but does miss a key point, also not sure about the comma at the beginning",17,2,474,lSToD6u7LuZJk20NqhMUk3jy22S2,4,8,14
18,Qatar and Egypt Form Closer Ties After  Rift,3,"fairly attention grabbing title, good amount of context given",17,3,426,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,0,8
19,Emir Tamim bin Hamad Al Thani visits Egypt after years of strained relations,2,"most context given and fairly interesting title, but most readers might not know who Emir is and why he is important",17,3,298,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,0,13
20," Qatar and Egypt strengthen ties, discuss regional issues ",4,"not super attention grabbing, but good context",17,3,234,LoDaQFokdGWa9TWBH61EBRf6Q272,5,0,8
21,Emir's Visit to Egypt Signals Qatar's Warming Relations,1,most attention grabbing language and provides most context with concise delivery,17,3,380,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,0,8
22,Qatar's emir in Cairo for 1st time since Arab spat resolved,6,the language used in this title could definitely be taken offensively,17,3,800,original,0,0,11
23,Qatar's Emir Arrives in Cairo for Talks with President el-Sissi,5,"lacks context of importance of this event and downplays its significance, not attention grabbing",17,3,820,gpt3,1,0,10
24,Indirect Talks Between Iran and U.S. End Without Breakthrough,4,"not as attention grabbing, lot of missing context",17,4,822,gpt3,1,2,9
25," Indirect talks between Iran, US fail to revive nuclear deal",3,"accurate title, not as attention-grabbing as previous",17,4,142,CHPvD2GusIUzZFAkiOpoRaDU1rE3,5,2,10
26,US and Iran fail to reach agreement on reviving nuclear deal,2,very attention grabbing title with great context given,17,4,545,pYsoPM0aang4pLBPqHbUlrc285Y2,3,2,11
27," Iran, US end nuclear deal talks without breakthrough",6,"less contex, and ""Iran, US"" part doesn't read smoothly",17,4,439,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,2,8
28,US and Iran in Stalemate after Former President Trump Pulls Out of 2015 Nuclear Deal,1,"most accurate headline that provides readers with most context, very interesting title",17,4,13,4G2vztY28Fee0nAkx43fXlepBSg1,2,2,15
29,U.S.-Iran nuclear negotiations in Qatar end without breakthrough,5,"good context, interesting title but the ""U.S.-Iran"" part doesn't read smoothly",17,4,802,original,0,2,8
30,Forest Service UNcontrolled burn leads to states largest ever fire as officials in New Mexico grapple with ongoing drought conditions.,2,also an accurate and attention grabbing title,17,5,594,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,13,20
31,The Forest Service Made Mistakes in Planning a Controlled Burn in New Mexico,3,"attention grabbing, but like the language used in other titles more. does hit key points",17,5,454,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,13,13
32,U.S. Forest Service admits climate change miscalculation in New Mexico fire,1,most accurate and attention grabbing title,17,5,813,original,0,13,11
33,Report: U.S. Forest Service Underestimated Climate Change When Planning Controlled Burn,4,hits key points but less attention grabbing,17,5,833,gpt3,1,13,11
34,-US Forest Service made several mistakes in planning New Mexico prescribed burn,6,"also eye catching, but leaves some context missing",17,5,481,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,13,12
35,Report: Climate Change Made New Mexico Wildfire Much Worse Than Anticipated,5,"eye catching title, but does not mention forest service miscalculation",17,5,407,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,13,11
36,"Slowly but surely, more of the ocean floor is being mapped",5,"very vague, but good attention grabbing title",17,6,773,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,16,11
37,"""23.4% of the Global Ocean Floor Has Been Mapped""",3,not very attention grabbing but provides key point,17,6,836,gpt3,1,16,9
38,New data reveals just 23.4% of ocean floor has been mapped,1,"most context given, attention grabbing title, gives readers a specific number",17,6,718,uIQjNU1bgVfp0K8B7po65McKCZF2,5,16,11
39,New Technology to Help map the World's Oceans,6,extremely vague and not at all eye catching,17,6,460,lSToD6u7LuZJk20NqhMUk3jy22S2,4,16,8
40,Nearly a quarter of Earth's seafloor now mapped,2,"eye-catching language ""nearly a quarter"", provides good context",17,6,816,original,0,16,8
41,"More of the ocean floor has been mapped properly, up about 23.4%",4,"provides a specific number to readers, but does not use eye catching language",17,6,276,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,16,12
42,Boris Johnson's Brexit Deal Still In Flux,6,very vague and dull title,17,7,382,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,1,7
43,"Boris Johnson Proposes Bill to Override Brexit Deal, Causing divisions Within Tory Party",3,"attention grabbing title that hits on main points, but too wordy",17,7,821,gpt3,1,1,13
44,UK MPs vote to allow Boris Johnson's Brexit bill to proceed,5,"misses point about disagreement, not eye catching",17,7,442,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,1,11
45,Boris Johnson's Brexit Bill Draws Criticism from European Union,1,"short and sweet but covers main points, very eye catching",17,7,349,XejxEr2oK8Xk9CTJhxXZwKyEzL73,5,1,9
46,Tory MPsDivided Over Boris Johnson's Bill to Override Brexit Deal,4,accurate but not very attention grabbing,17,7,490,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,1,10
47,UK Plan to Override Brexit Deal Passes Hurdle With Tory Dissent,2,"accurate title, but not as eye catching",17,7,801,original,0,1,11
48,New 'Super Bacteria' Could Be as Big as Human Eyelashes,3,"very attention grabbing, but leaves some context out such as location, also not sure about the se of ""could"" here",17,8,290,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,18,10
49,Bacteria the size of human eyelashes found in Caribbean mangroves,1,"best context given, very eye grabbing",17,8,754,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,18,10
50,Photo shows newly-discovered bacteria so large they are visible to the naked eye,6,would rank this title higher if photo was given,17,8,818,original,0,18,13
51,Scientists Discover New Bacteria That's the Size of a Human Eyelash,2,"good context, very attention grabbing",17,8,838,gpt3,1,18,11
52,Scientists discover new species of giant bacteria,5,fairly attention grabbing but no key points or details mentioned such as bacteria size or location found,17,8,429,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,18,7
53,Scientists say newly discovered bacteria is largest ever seen,4,very attention grabbing but no key points or details given,17,8,47,7WX00yoU07X1UKaG8WH0cYKB25S2,2,18,9
54,Why American Lawns Are Bad for the Environment,6,vague title with lack of attention grabbing language,17,9,832,gpt3,1,12,8
55,"Leaf blowers, lawn mowers and fertilizer: How lawns contribute to climate change",3,good context given but not super eye catching,17,9,812,original,0,12,12
56,Could lawn care be contributing to the climate change and water pollution? Over 40 million acres of just green grass.,4,great context but not very eye catching and too wordy,17,9,274,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,12,20
57,America's love affair with lawns is harming the environment,1,very attention grabbing and accurate title,17,9,753,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,12,9
58,Lawns are a net contributor to climate change here's what you can do to help,5,"not at all eye catching, and could use more context",17,9,422,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,12,15
59,The massive environmental cost of America's love affair with lawns,2,also very attention grabbing language used here,17,9,179,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,12,10
60,Japan Braces for Return of Foreign Tourists Amidst COVID  Concerns,4,missing context but very attention grabbing,17,10,353,XejxEr2oK8Xk9CTJhxXZwKyEzL73,5,7,10
61,Japan Braces for Return of Foreign Tourists with English-Speaking Rickshaw Drivers,2,"hits key points, but I would use alternative language to clarify to readers what a rickshaw driver is",17,10,827,gpt3,1,7,11
62,Japan prepares for return of foreign tourists,6,"very vague, makes reader question context, not at all attention grabbing",17,10,51,7WX00yoU07X1UKaG8WH0cYKB25S2,2,7,7
63,"As COVID fears ebb, Japan readies for tourists from abroad",3,attention grabbing title but misses key point of excitement,17,10,807,original,0,7,10
64,Japanese Businesses Excited for Return of Foreign Tourists After COVID Lockdown,1,faily attention grabbing title that provides great context,17,10,563,qiebo7O3TBach9qu1AqrWu2cAB23,3,7,11
65,Japanese Tourism Begins to Rebound Following Pandemic,5,eye catching title but lots of missing key points,17,10,93,7vtosds1eTQWx6qaDn5FwExnVR63,4,7,7
66,Climate Change Disasters Pile Up as Temperatures Continue to Rise,1,great mix of given context and eye catching language,17,11,831,gpt3,1,11,10
